scenario,run,mean_growth_rate,crisis_likelihood,mean_unemployment,gdp_end
5,17,0.01041552268952528,0.0,0.10433764214624996,4397033.4755980475
5,18,0.010396338004993178,0.0,0.11184507736825,4544520.878469899
5,19,0.010838416708206067,0.0,0.10556503275575002,4527600.7942682225
5,20,0.011369695592213569,0.0,0.10012783284575011,4817345.413011514
5,21,0.010088954465623301,0.0,0.10933251826075008,4282019.819636485
5,22,0.01113722774733339,0.0,0.09922617205275008,4678975.507224059
5,23,0.010531686819857722,0.0,0.11437998085275003,4176050.684977919
5,24,0.010005744849334697,0.0,0.11530464020574993,4144035.932725614
5,25,0.011167927793796384,0.0,0.10656748186574982,4836164.930243296
5,26,0.01038959265646655,0.010101010101010102,0.10310005253974996,4069665.1614010083
5,27,0.010473129896723554,0.0,0.10472313689025003,4583180.487838901
5,28,0.010697272590775686,0.0,0.10601846626674993,4441263.890509417
5,29,0.01024988781122338,0.0,0.11061642533024996,4132707.076603474
5,30,0.01070234014108662,0.0,0.11094495988749997,4303121.2501920415
5,31,0.011104959712845863,0.0,0.0960407209795,4644624.565142676
5,32,0.01103574166379273,0.0,0.09788193530675005,4641146.410681686
5,33,0.01130964846071758,0.0,0.09543234972775005,4953278.123274117
5,34,0.010727038504122488,0.0,0.09928218169649994,4675644.77216965
5,35,0.011081104774784967,0.0,0.10594913608324996,4395690.165024306
5,36,0.01054044433343515,0.0,0.1019063489492501,4553427.215995334
5,37,0.01131651982570081,0.0,0.09804079784300002,4938360.304951973
5,38,0.010808130464877275,0.0,0.10509146706975003,4525846.761749464
5,39,0.012446918909978288,0.0,0.10676770269075009,5326785.790798346
5,40,0.010608471814755438,0.0,0.09862763295624988,4562969.666727241
5,41,0.01000798708117423,0.0,0.10125513641549988,4367309.200669755
5,42,0.010931224358059266,0.0,0.10359971717075,4587969.26832236
5,43,0.010760163123005428,0.0,0.10858384452249992,4369533.900739528
5,44,0.010690143307150679,0.0,0.10928043252775,4532495.337736308
5,45,0.01032879350253424,0.0,0.10774312575725009,4285758.416141346
5,46,0.010411095252075286,0.0,0.11274275582725002,4379558.828897738
5,47,0.010516194929883538,0.0,0.10390208396050005,4221200.133305148
5,48,0.011046536834290466,0.0,0.10197465251724991,4459798.641091735
5,49,0.010184997244448546,0.0,0.10653797546074995,4383342.3195166625
5,50,0.010558949372614146,0.0,0.10836310305850005,4423593.540358446
6,1,0.01040289665549543,0.0,0.04225279740074994,4493253.25332513
6,2,0.009843259453076403,0.0,0.042412873949249974,3906155.869402598
6,3,0.009727215083319196,0.010101010101010102,0.035426425546499996,4150042.4434920046
6,4,0.010407255232257384,0.0,0.040303428438249966,4282562.28667834
6,5,0.009788160151590564,0.0,0.038366988066749985,4420327.261445585
6,6,0.010115178850168105,0.010101010101010102,0.04475844034825005,4110836.47897585
6,7,0.010263757375291505,0.0,0.04323329715175006,4502642.579056502
6,8,0.00959666240587942,0.010101010101010102,0.03992364278275007,4309552.145308295
6,9,0.010239975588371975,0.0,0.03684082512950004,4328284.474496041
6,10,0.010364918467113293,0.0,0.039734061914249996,4284744.269103367
6,11,0.00987261820889107,0.0,0.041866260538500066,4191231.903411665
6,12,0.008934817734197242,0.010101010101010102,0.045670314663999956,4078862.2337973737
6,13,0.010340147734844818,0.0,0.040204933663250175,4196858.946208981
6,14,0.010638402377803224,0.020202020202020204,0.041121918301499916,4408100.222712433
6,15,0.009848017284371569,0.0,0.043876939767499956,4188368.231088723
6,16,0.010306770756707495,0.0,0.040806753175249955,4408879.082866565
6,17,0.01054646720733099,0.0,0.04018256320274982,4460435.291873543
6,18,0.009640025521031381,0.010101010101010102,0.03985888695700002,3984485.7826753105
6,19,0.01035976527904725,0.0,0.03884377394850003,4523651.300339947
6,20,0.010119597786051981,0.020202020202020204,0.037350908107000036,4222080.183359794
6,21,0.010377450018618894,0.0,0.038844180675250195,4449541.700988086
6,22,0.010480047284535443,0.010101010101010102,0.03725786666749997,4556514.2051005475
6,23,0.009891032744016925,0.010101010101010102,0.03838010561650007,4418216.245187888
6,24,0.009861028871305466,0.0,0.03642949769674997,4431395.182237278
6,25,0.009745829461979882,0.010101010101010102,0.03603500683049998,4413660.829179066
6,26,0.010033360781146472,0.020202020202020204,0.038343926297750075,4249836.032423502
6,27,0.010946920417825634,0.020202020202020204,0.03735559017550005,4783537.225973406
6,28,0.010169820412329278,0.020202020202020204,0.04373282339925,4198650.197549762
6,29,0.009888615898853814,0.010101010101010102,0.037614539156000104,4482038.4861560175
6,30,0.009324365940433621,0.0,0.04014676077750001,4239484.475730072
6,31,0.009971190035481525,0.0,0.04228769561275003,4170034.841737345
6,32,0.009031368685007424,0.0,0.04028934869050005,3970523.253266748
6,33,0.010005599545835908,0.0,0.040182802197749945,4481044.0094992425
6,34,0.009507230370713327,0.010101010101010102,0.03877038537925004,4141212.4748672238
6,35,0.010644935609323225,0.0,0.03945660878699997,4356992.058282702
6,36,0.009456182255447754,0.0,0.03991872670624996,3949286.9611279657
6,37,0.009964139051165333,0.010101010101010102,0.03730657521574998,4326607.41464565
6,38,0.010175803506654368,0.010101010101010102,0.03514094093974984,4159780.7519460986
6,39,0.0103139769041527,0.020202020202020204,0.03775349395875016,4392062.40757307
6,40,0.009763748289473018,0.010101010101010102,0.03932620098650008,4307650.7553630015
6,41,0.010334088388629814,0.0,0.03771158328824997,4333235.511256163
6,42,0.010350782154083582,0.0,0.037218295930499856,4587089.361535484
6,43,0.009806653414116795,0.0,0.036940825243999886,4044065.2026610672
6,44,0.01015381840442342,0.0,0.04033318593824997,4516251.284952176
6,45,0.010109399340731517,0.010101010101010102,0.04327030779699992,4074594.829052808
6,46,0.009576606664272624,0.020202020202020204,0.04319847317725012,3858875.286091826
6,47,0.010337536991025686,0.010101010101010102,0.040066514250499896,4328943.629852314
6,48,0.00974160984102923,0.0,0.04068524486899994,4214849.508280996
6,49,0.01058658792114886,0.020202020202020204,0.03840297681100002,4650877.733513082
6,50,0.01063854736648806,0.020202020202020204,0.03613004887475002,4496855.8066520905
8,1,0.009783382021002707,0.020202020202020204,0.044214733836499986,4244215.163137035
8,2,0.01026145396852196,0.010101010101010102,0.042527233588249946,4374288.64488438
8,3,0.010518773142151439,0.0,0.04544422586224994,4533645.71882807
8,4,0.01031471409151874,0.0,0.04096754962174998,4655624.437854057
8,5,0.00941460679484063,0.0,0.04643605425524999,4078538.0648551574
8,6,0.01072869867908377,0.0,0.044859422998000054,4644767.3161377255
8,7,0.010324930126224263,0.0,0.04550101208900004,4582393.037686892
8,8,0.010460416836220121,0.0,0.04260086503274996,4519463.2248322675
8,9,0.010304640303586021,0.0,0.045955253720999956,4348726.603021017
8,10,0.010448052560609433,0.0,0.04550920421825,4358870.298628844
8,11,0.010537408141312543,0.010101010101010102,0.04243643628325,4518548.73605438
8,12,0.010380257917028235,0.0,0.047915905656250035,4517362.6258482775
8,13,0.01061836084266643,0.0,0.041689744171499954,4735956.567310271
8,14,0.010647331656250092,0.010101010101010102,0.04739902389725004,4632454.362603203
8,15,0.01029966317663189,0.0,0.045032715700000114,4458946.594765885
8,16,0.009792651311101297,0.0,0.043376938308000046,4272850.69360336
8,17,0.010369732032146306,0.0,0.043626122505999954,4436341.787640275
8,18,0.010257188488721702,0.0,0.04409755605450005,4514956.567434789
8,19,0.010420211791465128,0.0,0.04473831903725001,4597878.096917912
8,20,0.010550251064618488,0.010101010101010102,0.04474042349924989,4634843.670360934
8,21,0.00986973585645945,0.0,0.047347636250999914,4279611.800037617
8,22,0.010288113629801643,0.0,0.04692914448575014,4405621.295641605
8,23,0.009984660159195968,0.010101010101010102,0.048852576216499966,4266613.526461808
8,24,0.009911326655196673,0.0,0.04553471650000007,4211368.926346654
8,25,0.010931227777338348,0.0,0.042694952374750184,4530085.7296775365
8,26,0.010698999941695098,0.0,0.04552266228974999,4821738.955352608
8,27,0.009165635379988268,0.0,0.04329545927574996,3919479.509035848
8,28,0.010641499711646407,0.0,0.047036687822500034,4547855.7289728895
8,29,0.01068396527253257,0.010101010101010102,0.04857502722899998,4538367.722466057
8,30,0.010654841570182594,0.010101010101010102,0.04258387935274999,4447145.5614179885
8,31,0.009563397969038823,0.0,0.04628310469524988,4060316.063629967
8,32,0.009892108929999033,0.0,0.04569060356275001,4294056.621907336
8,33,0.010714393582559323,0.0,0.043952538718750045,4450225.243009137
8,34,0.010823894119846189,0.010101010101010102,0.044996269237000064,4247287.59275228
8,35,0.010312838592355433,0.020202020202020204,0.04391653497124992,4626005.911927698
8,36,0.010679752149370447,0.0,0.04813323253599988,4393379.070900693
8,37,0.010624661762559606,0.0,0.04466172886399988,4452329.67635886
8,38,0.010408187563072602,0.0,0.046160505755500014,4364702.0547698485
8,39,0.010668521892833294,0.0,0.040797880496500016,4635763.3095681695
8,40,0.010550501600749218,0.010101010101010102,0.045161541061499944,4514679.979648134
8,41,0.010362365454095412,0.0,0.045680487172999995,4363079.16665289
8,42,0.010565113132440462,0.0,0.045166829332499936,4387009.48860861
8,43,0.010280834413335382,0.0,0.04840594163699985,4429301.362172782
8,44,0.010241808659376517,0.0,0.04330923390300001,4554124.23607829
8,45,0.010323669800539115,0.0,0.04565519626275005,4538939.48282819
8,46,0.010752757997747109,0.0,0.04626644487175002,4537212.438326952
8,47,0.0113373456542043,0.010101010101010102,0.04572214386450002,4734645.484247724
8,48,0.010244433163914657,0.0,0.04217270133475015,4587258.163826154
8,49,0.0102416602365345,0.0,0.04436631009750003,4345671.990034341
8,50,0.010358959100030818,0.0,0.04692691705874996,4425620.0149081815
9,1,0.012232427028110893,0.0,0.08293355643825007,5019422.2551168045
9,2,0.010452190787550553,0.0,0.07889091602224996,4400994.951883332
9,3,0.010908562501469321,0.010101010101010102,0.09234838259999989,4539710.640672141
9,4,0.011880101816996058,0.010101010101010102,0.0761268410885001,5087334.066766643
9,5,0.01123638914666758,0.020202020202020204,0.08197883014149998,4624000.412492861
9,6,0.011414771899108445,0.010101010101010102,0.08053679936100011,4906722.183212496
9,7,0.010997001422703434,0.010101010101010102,0.07710236073325005,4747638.273671815
9,8,0.01153848692876358,0.030303030303030304,0.08806373534875012,4827151.423641798
9,9,0.011424504642860711,0.030303030303030304,0.08059272277274998,4915969.897049729
9,10,0.011220482797979159,0.0,0.08433676481875008,4680880.247715987
9,11,0.010240245103186885,0.0,0.08244327099000004,4507057.834117734
9,12,0.011827412729699116,0.0,0.08218100365624992,4942305.898825233
9,13,0.010847815353710155,0.0,0.0849168717505,4687957.270797082
9,14,0.011058240741023795,0.010101010101010102,0.08512025064325002,4610599.161269229
9,15,0.01107580038027689,0.010101010101010102,0.08561625014350005,4541220.823214614
9,16,0.010674456959874234,0.020202020202020204,0.08076288088474992,4267585.503085247
9,17,0.011840042287070807,0.010101010101010102,0.08517530137375007,4948175.449049913
9,18,0.011287723811202799,0.020202020202020204,0.0885325358964999,4749325.829132053
9,19,0.011006859173895212,0.0,0.07920730843699997,4851638.221073711
9,20,0.010495479431750887,0.020202020202020204,0.08304098991299991,4332675.1179842
9,21,0.011211652264772942,0.020202020202020204,0.07999177107775002,4856362.907763764
9,22,0.011941103989357549,0.0,0.08732305398224993,5037769.090185529
9,23,0.011154414042619853,0.030303030303030304,0.08172067640725,4711095.1209314
9,24,0.012009531815491581,0.0,0.08712534575474995,5199902.24608692
9,25,0.010110084963179666,0.020202020202020204,0.08159369902524982,4421589.318647467
9,26,0.011368874426199493,0.0,0.0797577461265,4761641.840651046
9,27,0.011838356498881097,0.020202020202020204,0.07957794365424997,5119645.293592452
9,28,0.011496673328426965,0.020202020202020204,0.08388931810725009,4997311.933361855
9,29,0.011870511885949009,0.0,0.07812694581149993,5062477.277597865
9,30,0.011351615281237182,0.0,0.08518785511674987,4720499.304583641
9,31,0.010519891640796919,0.020202020202020204,0.08407985019050002,4376393.0106620155
9,32,0.010831990592822693,0.010101010101010102,0.08266343377450014,4572670.975976525
9,33,0.010401461958077673,0.010101010101010102,0.08328655755999992,4490003.377783718
9,34,0.010675802243577337,0.0,0.08039326266050006,4558103.829468049
9,35,0.01129667086053665,0.010101010101010102,0.08072267422075019,4780627.014226724
9,36,0.010639352725505091,0.030303030303030304,0.07775182680374992,4648795.843596933
9,37,0.011187053761912313,0.0,0.08409935761224996,4833085.382248701
9,38,0.011431632753861942,0.010101010101010102,0.08348015719500002,4787265.881955598
9,39,0.011461342905459526,0.020202020202020204,0.07592185821474995,4764883.358703658
9,40,0.011098231019882387,0.010101010101010102,0.08950955014950002,4754097.664786332
